"","mean_PM25","RR","Lower_CI","Upper_CI"
"289",50,1.00610114767414,1.00353862167382,1.0086702170594
"290",52,1.00916106028618,1.00530996075121,1.01302691245289
"291",61,1.02304624174436,1.01331975777073,1.03286608666331
"292",74,1.04344058354642,1.02500226372337,1.06221058228367
"293",59,1.01994422738708,1.01153430556702,1.02842406951002
"294",50,1.00610114767414,1.00353862167382,1.0086702170594
"295",49,1.00457467240399,1.00265412288007,1.00649890067454
"296",52,1.00916106028618,1.00530996075121,1.01302691245289
"297",64,1.02771696161712,1.01600384685673,1.03956511234003
"298",54,1.01223027918439,1.00708442640694,1.0174024254881
"299",47,1.00152866633935,1.0008874633439,1.00217028011153
"300",48,1.00305051313035,1.0017704036658,1.00433225837914
"301",47,1.00152866633935,1.0008874633439,1.00217028011153
"302",52,1.00916106028618,1.00530996075121,1.01302691245289
"303",46,1.00000912852245,1.00000530122788,1.00001295583167
"304",46,1.00000912852245,1.00000530122788,1.00001295583167
"305",53,1.01069450468255,1.00619680241209,1.01521231169362
"306",47,1.00152866633935,1.0008874633439,1.00217028011153
"307",53,1.01069450468255,1.00619680241209,1.01521231169362
"308",54,1.01223027918439,1.00708442640694,1.0174024254881
"309",50,1.00610114767414,1.00353862167382,1.0086702170594
"310",48,1.00305051313035,1.0017704036658,1.00433225837914
"311",78,1.04979718553865,1.02862390597976,1.07140629763523
"312",54,1.01223027918439,1.00708442640694,1.0174024254881
"313",59,1.01994422738708,1.01153430556702,1.02842406951002
"314",59,1.01994422738708,1.01153430556702,1.02842406951002
"315",47,1.00152866633935,1.0008874633439,1.00217028011153
"316",73,1.04185745619353,1.02409884730643,1.05992401210198
"317",55,1.01376838733237,1.00797283342591,1.01959726400704
"318",65,1.02927860214989,1.0169001222088,1.04180776234198
"319",49,1.00457467240399,1.00265412288007,1.00649890067454
"320",67,1.03240900567175,1.01869504557833,1.04630758696487
"321",62,1.02460078500645,1.01421366533364,1.03509428488175
"322",47,1.00152866633935,1.0008874633439,1.00217028011153
"323",61,1.02304624174436,1.01331975777073,1.03286608666331
"324",59,1.01994422738708,1.01153430556702,1.02842406951002
"325",53,1.01069450468255,1.00619680241209,1.01521231169362
"326",46,1.00000912852245,1.00000530122788,1.00001295583167
